year,team,win_pct,fg3_pct,ts_pct,fta,ast,oefg_pct,otov_pct,mov
2012,NOH,0.303,0.354,0.521,21.7,19.9,0.487,13.3,-4.8
2012,NYK,0.424,0.336,0.523,23.5,20.3,0.491,14.4,-0.9
2012,OKC,0.636,0.332,0.546,26.8,16.8,0.467,12.2,2.5
2012,ORL,0.485,0.371,0.525,23.0,19.7,0.491,12.3,-2.3
2012,PHI,0.485,0.366,0.515,18.4,21.2,0.475,13.1,1.4
2012,PHO,0.424,0.318,0.523,20.9,22.3,0.488,13.4,-3.2
2012,POR,0.242,0.322,0.512,20.5,19.2,0.516,12.9,-6.9
2012,SAC,0.182,0.301,0.497,21.9,18.8,0.508,13.2,-9.0
2012,SAS,0.667,0.371,0.544,20.5,22.5,0.506,12.6,2.4
2012,TOR,0.303,0.339,0.513,21.3,19.7,0.481,12.0,-6.0
2012,UTA,0.333,0.307,0.514,23.3,22.1,0.509,13.2,-4.8
2012,WAS,0.273,0.337,0.503,20.7,18.3,0.495,12.9,-7.2
2013,ATL,0.463,0.368,0.542,18.6,23.9,0.498,14.1,-0.3
2013,BOS,0.341,0.358,0.532,19.7,21.8,0.499,12.8,-4.9
2013,BRK,0.561,0.353,0.536,23.3,21.0,0.508,12.7,1.0
2013,CHA,0.146,0.318,0.494,24.0,17.1,0.534,12.6,-14.2
2013,CHI,0.512,0.338,0.516,20.6,23.0,0.49,12.7,-1.4
2013,CLE,0.244,0.347,0.512,21.8,18.9,0.531,14.3,-6.3
2013,DAL,0.415,0.367,0.537,19.5,22.9,0.49,12.3,-3.6
2013,DEN,0.463,0.322,0.539,25.8,23.2,0.499,12.9,-0.5
2013,DET,0.268,0.349,0.511,23.2,20.7,0.51,12.0,-7.4
2013,GSW,0.463,0.401,0.538,20.5,21.2,0.502,12.3,-2.3
2013,HOU,0.39,0.361,0.556,24.5,22.6,0.506,12.7,-0.3
2013,IND,0.475,0.32,0.516,22.5,20.1,0.461,12.4,0.2
2013,LAC,0.585,0.345,0.54,24.1,21.5,0.499,14.3,2.0
2013,LAL,0.39,0.355,0.545,28.4,20.0,0.511,11.7,-2.9
2013,MEM,0.585,0.338,0.523,22.4,21.8,0.488,14.1,2.0
2013,MIA,0.707,0.386,0.572,21.4,22.7,0.481,13.9,5.0
2013,MIL,0.415,0.354,0.505,19.9,22.1,0.487,13.9,-3.1
2013,MIN,0.268,0.309,0.516,23.1,23.0,0.536,14.0,-5.6
2013,NOH,0.268,0.363,0.532,21.2,19.5,0.528,12.1,-5.6
